,index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
78,388016,98,7,02/06/2013,0,0,0,0,0,168.59737
79,268257,1026,2,28/01/2014,1044,1,0,0,0,7219.9995
80,216326,990,5,04/10/2013,719,1,0,0,0,5831.708
81,40755,8,6,10/01/2015,345,1,0,0,0,3099.6086
82,8654,611,3,31/07/2013,566,1,1,0,1,6123.491
83,37301,257,2,13/08/2013,777,1,1,0,0,7386.886
84,485623,840,4,16/04/2015,1189,1,1,0,0,9202.844
85,214073,848,5,31/07/2015,998,1,1,0,1,9844.711
86,406145,124,6,12/07/2014,297,1,0,0,0,2606.0679
87,397642,1028,2,31/12/2013,438,1,0,0,1,3906.932
88,273960,95,2,24/09/2013,1099,1,1,0,0,9794.126
89,12104,208,1,28/10/2013,323,1,0,0,0,2554.5203
90,361202,249,2,08/07/2014,449,1,0,0,0,4355.684
91,79347,887,3,20/03/2013,614,1,1,0,0,6262.6543
92,462803,73,1,28/04/2014,601,1,1,0,1,7050.3726
93,141713,13,4,02/04/2015,501,1,1,0,1,6184.5796
94,703618,1049,2,03/09/2013,580,1,0,0,1,4871.495
95,308360,144,4,05/02/2015,769,1,1,0,0,7690.3867
96,317995,847,3,14/08/2013,1018,1,1,0,1,9026.325
97,364408,796,3,08/05/2013,717,1,0,0,0,6326.9956
98,27886,396,4,11/06/2015,1139,1,0,0,0,8535.004
99,706814,1080,7,15/09/2013,0,0,0,0,0,-53.637314
100,514516,675,5,26/09/2014,338,1,0,0,0,3373.6423
101,577373,1099,1,01/12/2014,1236,1,1,0,0,11037.426
102,190561,791,1,11/05/2015,858,1,0,0,0,7464.863
103,92512,1014,2,24/03/2015,1476,1,0,0,0,11973.524
104,565163,487,2,04/11/2014,737,1,1,0,0,7463.6353
105,500246,427,3,13/02/2013,701,1,0,0,1,6373.7505
106,223708,254,5,14/11/2014,282,1,1,0,0,3301.1755
107,555732,43,5,31/01/2014,710,1,0,0,0,6328.9883
108,654150,1074,2,09/06/2015,421,1,0,0,0,4232.173
109,558350,549,6,29/06/2013,380,1,0,0,0,3459.6838
110,52167,1095,2,08/01/2013,720,1,1,0,0,6639.76
111,296981,295,1,28/10/2013,612,1,0,0,1,4772.509
112,332143,319,1,14/10/2013,863,1,0,0,1,7531.322
113,426553,1002,4,10/04/2014,642,1,0,0,0,5013.594
114,481847,448,6,06/12/2014,544,1,0,0,0,5610.2456
115,100496,527,2,03/09/2013,1046,1,0,0,1,8770.141
116,706377,255,5,12/04/2013,652,1,1,0,0,6324.7773
117,599169,581,5,04/07/2014,651,1,1,0,0,6283.191
118,55294,185,6,05/01/2013,550,1,0,0,0,5462.908
119,218737,244,6,22/11/2014,538,1,0,0,0,5057.012
120,266706,1082,6,05/01/2013,877,1,0,0,0,8272.458
121,441953,216,5,20/03/2015,837,1,1,0,0,6747.19
122,127184,350,4,05/03/2015,508,1,1,0,0,6347.2676
123,312223,748,1,31/03/2014,822,1,1,0,0,9709.254
124,583377,718,1,08/12/2014,962,1,0,0,0,8691.373
125,523743,739,5,21/02/2014,789,1,1,0,0,7884.29
126,476775,614,7,21/12/2014,0,0,0,0,0,316.30844
127,620142,673,2,18/02/2014,615,1,1,0,0,6804.546
128,460092,83,1,10/06/2013,367,1,0,0,0,3515.5708
129,169260,976,3,18/09/2013,598,1,0,0,0,4710.83
130,177084,637,6,06/04/2013,518,1,0,0,0,5309.3823
131,645354,122,2,07/01/2014,714,1,1,0,0,7640.6514
132,645737,898,1,24/11/2014,1013,1,1,0,0,10382.404
133,272578,1080,4,26/06/2014,710,1,0,0,0,6801.715
134,600374,291,1,30/03/2015,1290,1,1,0,0,14185.141
135,566038,24,4,03/01/2013,711,1,0,0,1,7227.1377
136,381862,1096,7,18/08/2013,0,0,0,0,0,-94.32542
137,535335,637,5,30/05/2014,860,1,0,0,0,10829.918
138,499411,1002,2,02/06/2015,850,1,1,0,0,8047.835
139,625219,666,1,10/03/2014,497,1,0,0,0,3967.1797
140,61823,1089,7,24/11/2013,0,0,0,0,0,130.90157
141,653471,334,6,31/08/2013,515,1,0,0,0,4354.548
142,441789,300,6,30/08/2014,951,1,0,0,1,7532.0723
143,155435,207,1,22/09/2014,1166,1,0,0,0,8168.597
144,226567,683,3,27/05/2015,854,1,0,0,0,7145.2026
145,107330,1094,2,14/05/2013,394,1,1,0,0,5014.2456
146,149417,700,4,09/07/2015,576,1,0,0,0,5132.6426
147,191690,959,2,26/08/2014,744,1,0,0,0,5827.461
148,146544,766,7,22/06/2014,0,0,0,0,0,16.53994
149,383603,1011,6,08/06/2013,977,1,0,0,0,8105.799
150,452941,570,5,13/12/2013,676,1,0,0,0,5481.104
151,629103,685,2,10/09/2013,689,1,1,0,0,7557.671
152,30258,158,3,16/04/2014,681,1,1,0,1,8048.746
153,219501,66,5,29/05/2015,522,1,0,0,1,5748.8896
154,528607,76,2,30/07/2013,1080,1,1,0,0,11145.591
155,397525,572,3,16/10/2013,458,1,0,0,0,5059.0205
156,314281,184,6,11/10/2014,510,1,0,0,0,4955.145
157,489418,1034,5,06/12/2013,775,1,1,0,0,7685.3364
158,182776,559,7,11/08/2013,0,0,0,0,0,-239.70094
159,335928,862,2,23/12/2014,1561,1,0,0,1,13166.815
160,198358,171,2,11/11/2014,962,1,1,0,0,8610.937
161,400219,33,7,07/12/2014,0,0,0,0,0,51.673595
162,427476,936,4,27/11/2014,963,1,1,0,0,8682.929
163,31892,948,2,18/02/2014,1682,1,1,0,0,7736.3374
164,109374,371,6,04/05/2013,551,1,0,0,0,5855.1675
165,385320,242,1,05/05/2014,378,1,1,0,0,4725.4927
166,517169,133,5,17/01/2014,622,1,0,0,0,5607.5117
167,369733,1031,1,15/12/2014,681,1,1,0,0,8206.694
168,71343,850,4,07/02/2013,710,1,1,0,0,6602.2637
169,42363,860,5,05/06/2015,833,1,1,0,0,7655.9365
170,612665,836,6,06/07/2013,301,1,0,0,0,2462.1626
171,428563,965,6,30/11/2013,908,1,0,0,0,8094.905
172,610249,1096,1,26/01/2015,763,1,1,0,0,7631.04
173,669222,504,3,03/09/2014,836,1,1,0,1,7151.4946
174,484348,230,1,30/12/2013,1327,1,0,0,1,12107.602
175,194089,826,1,02/12/2013,1170,1,1,0,0,12847.4375
176,328888,975,2,30/07/2013,767,1,1,0,1,8036.045
177,485880,602,2,28/10/2014,547,1,0,0,1,5844.6987
178,699868,953,5,19/09/2014,553,1,1,0,0,5850.9897
179,265929,187,6,02/11/2013,491,1,0,0,0,5166.4297
180,154648,792,5,18/10/2013,599,1,0,0,0,5051.824
181,376328,1035,4,27/11/2014,744,1,1,0,0,7404.2627
182,530275,523,3,29/07/2015,1515,1,1,0,1,13145.603
183,441109,723,4,04/04/2013,461,1,0,0,1,4583.978
184,26050,1025,7,26/05/2013,0,0,0,0,0,-95.82136
185,247671,18,7,04/01/2015,0,0,0,0,0,-38.387638
186,615467,997,3,03/09/2014,378,1,1,0,1,4740.392
187,267972,400,6,05/10/2013,805,1,0,0,0,6265.6333
188,22318,1047,2,09/07/2013,491,1,0,0,0,5096.8716
189,430083,819,1,02/09/2013,472,1,0,0,0,4742.672
190,510014,668,1,02/06/2014,1562,1,1,0,0,13187.173
191,343803,585,4,22/01/2015,666,1,0,0,0,5518.886
192,85161,99,1,10/03/2014,404,1,0,0,0,3876.246
193,505852,965,6,22/11/2014,847,1,0,0,0,6728.5327
194,266131,590,4,21/02/2013,376,1,1,0,0,4294.5
195,397091,709,2,02/06/2015,1682,1,1,0,0,13777.239
196,112013,58,7,20/10/2013,0,0,0,0,0,-1.1200418
197,492019,409,7,09/02/2014,0,0,0,0,0,78.20446
198,73240,850,6,04/04/2015,826,1,0,0,0,8337.061
199,203948,1058,3,06/03/2013,737,1,1,0,0,7308.469
200,603210,1067,7,13/04/2014,0,0,0,0,0,108.05093
201,82813,777,1,21/04/2014,0,0,0,b,1,-86.366104
202,634511,155,3,21/05/2014,632,1,1,0,0,7092.7983
203,28171,598,1,29/06/2015,871,1,1,0,0,10007.815
204,198571,493,2,01/07/2014,902,1,1,0,0,8512.834
205,70073,628,7,03/08/2014,0,0,0,0,1,-162.70502
206,551321,524,1,30/12/2013,1193,1,0,0,1,10898.435
207,509286,966,4,04/04/2013,585,1,0,0,1,4714.7583
208,24413,1022,5,27/12/2013,791,1,0,0,1,7687.8975
209,367168,380,3,05/03/2014,1720,1,1,0,0,17372.4
210,103724,132,3,14/01/2015,579,1,1,0,0,6109.903
211,704886,400,5,26/06/2015,999,1,0,0,0,8114.7725
212,568270,988,4,29/08/2013,790,1,1,0,0,6411.115
213,627934,906,2,19/03/2013,1476,1,1,0,0,13616.915
214,520091,1028,2,05/11/2013,689,1,1,0,0,6711.329
215,505933,1100,6,23/03/2013,484,1,0,0,0,3763.1047
216,67603,759,1,14/01/2013,607,1,0,0,0,4869.191
217,96570,223,1,27/10/2014,716,1,0,0,0,5542.033
218,696883,936,7,15/03/2015,0,0,0,0,0,-71.68592
219,216455,780,6,11/07/2015,341,1,0,0,0,3074.6401
220,472114,259,5,28/11/2014,2677,1,1,0,0,17631.475
221,437836,131,6,09/11/2013,582,1,0,0,0,5636.5996
222,467331,251,3,28/01/2015,2241,1,1,0,0,18573.137
223,423483,1079,6,17/01/2015,517,1,0,0,0,5654.5356
224,533535,1003,3,05/03/2014,1029,1,1,0,0,8363.864
225,82465,980,4,05/09/2013,450,1,0,0,0,4721.009
226,245480,654,2,27/01/2015,766,1,1,0,0,7797.846
227,155723,966,4,25/07/2013,517,1,0,0,1,4295.253
228,167485,1020,1,22/09/2014,929,1,0,0,0,6848.3833
229,574217,969,3,19/03/2014,610,1,1,0,0,5006.477
230,307718,1038,2,07/04/2015,490,1,0,0,1,4805.764
231,250666,516,3,09/07/2014,453,1,0,0,1,4392.9985
232,233447,733,1,14/01/2013,3171,1,0,0,0,13181.41
233,9408,595,6,31/05/2014,1881,1,0,0,0,15010.263
234,532318,260,3,16/07/2014,962,1,1,0,1,9266.541
235,213221,768,6,02/02/2013,1251,1,0,0,0,10884.377
236,149118,940,1,14/01/2013,627,1,0,0,0,5929.4263
237,643815,364,4,27/06/2013,563,1,0,0,0,4782.4727
238,205464,506,3,22/07/2015,763,1,0,0,1,6773.6396
239,172737,671,3,29/05/2013,507,1,1,0,1,5742.072
240,358803,300,6,24/01/2015,862,1,0,0,0,7161.979
241,432064,84,2,17/06/2014,1563,1,1,0,0,15320.113
242,243176,219,4,07/05/2015,455,1,1,0,0,3694.1694
243,165487,934,5,22/03/2013,764,1,1,0,0,7199.359
244,206630,125,3,01/04/2015,1906,1,1,0,1,16370.509
245,380228,176,3,04/12/2013,757,1,1,0,0,8001.288
246,278339,223,2,26/11/2013,675,1,0,0,0,5483.9033
247,125602,326,1,14/07/2014,429,1,1,0,0,5266.55
248,707930,339,2,27/08/2013,745,1,1,0,0,7388.9365
249,647013,872,3,08/04/2015,659,1,0,0,1,6277.9805
250,404917,579,7,23/11/2014,0,0,0,0,0,-24.342226
251,607690,974,5,28/02/2014,1599,1,0,0,0,11089.461
252,63394,979,7,12/04/2015,0,0,0,0,0,-2.2180204
253,334403,880,3,04/06/2014,806,1,1,0,0,7375.3926
254,440195,910,7,31/03/2013,0,0,0,0,0,-119.155525
255,87636,1084,6,04/07/2015,614,1,0,0,0,5887.9985
256,189540,92,5,12/06/2015,453,1,0,0,0,4699.551
257,18218,14,6,20/06/2015,402,1,0,0,0,3586.93
258,396021,587,1,30/12/2013,960,1,0,0,1,7471.208
259,442052,230,4,24/10/2013,856,1,1,0,0,7513.2896
260,397202,689,6,15/03/2014,589,1,0,0,0,5761.4917
261,251121,599,1,13/05/2013,1096,1,1,0,0,10633.496
262,463013,596,7,22/12/2013,0,0,0,0,0,8.114113
263,655331,576,1,11/03/2013,749,1,0,0,0,6034.8867
264,327407,141,4,26/06/2014,493,1,0,0,0,4491.4663
265,355157,751,1,21/04/2014,0,0,0,b,1,36.777008
266,654124,877,5,01/03/2013,925,1,0,0,0,7556.204
267,602473,375,2,23/04/2013,948,1,1,0,0,8125.506
268,414480,230,1,08/12/2014,988,1,0,0,0,8820.356
269,574764,545,3,22/01/2014,1087,1,1,0,0,10682.001
270,136740,1022,1,04/03/2013,1093,1,1,0,0,10557.236
271,240843,597,3,20/08/2014,756,1,1,0,1,7215.0522
272,130323,559,7,08/06/2014,0,0,0,0,0,-159.5087
273,688030,1024,6,18/07/2015,825,1,0,0,0,6851.5303
274,43133,36,2,17/03/2015,1205,1,1,0,0,11038.767
275,172856,702,2,28/05/2013,351,1,1,0,1,4015.8008
276,446048,623,7,10/02/2013,0,0,0,0,0,81.288475
277,36534,105,4,17/10/2013,483,1,0,0,0,4338.0093
278,612801,902,2,19/11/2013,648,1,1,0,0,6891.123
279,256750,11,6,11/04/2015,786,1,0,0,0,6332.4146
280,623446,1039,5,28/06/2013,629,1,0,0,0,5698.172
281,63314,102,1,16/02/2015,1174,1,1,0,0,10288.442
282,238452,543,5,18/10/2013,175,1,0,0,1,1657.5251
283,43919,827,4,02/01/2014,1910,1,0,0,1,13546.632
284,258378,110,3,08/10/2014,647,1,1,0,0,6175.184
285,59774,945,1,05/01/2015,698,1,1,0,1,6828.5034
286,31637,582,3,12/03/2014,749,1,0,0,0,5472.2954
287,673741,554,4,16/01/2014,428,1,0,0,0,3740.29
288,659942,486,2,08/07/2014,384,1,0,0,1,3706.6497
289,349639,637,6,15/02/2014,520,1,0,0,0,5436.3447
290,394865,806,5,31/01/2014,578,1,0,0,0,6314.1113
291,255648,887,6,21/06/2014,462,1,0,0,0,4706.568
292,379128,374,6,04/04/2015,668,1,0,0,0,7910.2744
293,540897,1025,5,04/01/2013,804,1,0,0,1,6090.8594
294,662220,638,2,06/08/2013,431,1,0,0,1,4349.1587
295,160268,123,6,09/05/2015,490,1,0,0,0,4928.694
296,654290,905,4,19/02/2015,1108,1,1,0,0,9466.288
297,599039,536,5,05/04/2013,989,1,0,0,1,8496.3
298,651027,763,7,01/02/2015,0,0,0,0,0,47.27891
299,553569,191,6,10/08/2013,694,1,0,0,0,6528.6475
300,271750,957,4,20/02/2014,948,1,1,0,0,8082.432
301,709864,268,4,04/06/2015,618,1,1,0,0,6411.6934
302,300796,654,6,07/09/2013,266,1,0,0,0,2292.3962
303,413674,612,6,07/09/2013,388,1,0,0,0,4134.9263
304,8402,747,3,27/08/2014,567,1,0,0,1,5347.251
305,310059,656,6,18/05/2013,380,1,0,0,0,3353.5957
306,319105,368,5,05/04/2013,592,1,0,0,1,6179.3984
307,689752,959,3,18/09/2013,552,1,0,0,0,4616.429
308,516276,329,2,03/02/2015,708,1,1,0,0,6952.309
309,338342,97,3,22/07/2015,535,1,0,0,1,5002.7803
310,666229,314,2,13/08/2013,661,1,1,0,1,6955.2266
311,8353,463,7,11/01/2015,0,0,0,0,0,-61.76776
312,386012,258,1,20/05/2013,0,0,0,a,0,-10.542584
313,471619,283,3,13/11/2013,621,1,0,0,0,5523.6475
314,612347,556,1,15/04/2013,754,1,0,0,0,5035.3433
315,514445,388,5,24/01/2014,1211,1,1,0,0,11089.747
316,396179,67,3,03/09/2014,837,1,1,0,1,8198.084
317,590638,725,5,16/01/2015,677,1,1,0,0,6967.2744
318,683448,219,4,06/06/2013,416,1,1,0,0,3288.7954
319,218062,1077,2,10/02/2015,479,1,0,0,0,4399.022
320,706606,322,4,23/05/2013,589,1,0,0,0,5483.1216
321,453487,814,3,20/02/2013,581,1,1,0,1,5173.154
322,240904,134,7,30/06/2013,0,0,0,0,0,53.762905
323,326681,54,4,11/07/2013,657,1,0,0,0,6006.133
324,272937,662,5,26/04/2013,854,1,1,0,0,7883.924
325,11415,126,7,19/04/2015,0,0,0,0,0,-131.25165
326,436957,1001,6,30/11/2013,471,1,0,0,0,4801.7144
327,171033,657,4,13/02/2014,598,1,0,0,0,5058.7456
328,632521,590,4,14/03/2013,319,1,0,0,0,3179.7234
329,179002,193,3,25/12/2013,0,0,0,c,1,55.158276
330,345971,168,6,21/09/2013,465,1,0,0,0,4319.6665
331,463457,16,1,22/07/2013,839,1,0,0,0,6407.529
332,674866,244,1,04/02/2013,738,1,1,0,0,7619.9287
333,479231,545,7,08/02/2015,0,0,0,0,0,286.88394
334,369184,1032,6,19/01/2013,492,1,0,0,0,4692.223
335,564608,290,5,31/05/2013,987,1,1,0,0,9559.615
336,421305,548,4,24/01/2013,335,1,1,0,0,4195.478
337,312789,733,1,04/08/2014,3508,1,1,0,1,17155.934
338,548456,654,4,06/06/2013,716,1,1,0,0,6765.0137
339,195259,272,6,04/05/2013,377,1,0,0,0,3306.2964
340,669573,1017,3,20/03/2013,1176,1,1,0,0,9256.515
341,599293,708,2,20/05/2014,462,1,1,0,0,5323.048
342,33900,819,4,08/01/2015,454,1,1,0,0,5453.348
343,74619,99,3,26/06/2013,372,1,0,0,0,3806.191
344,284898,982,2,10/12/2013,710,1,0,0,0,7057.2383
345,402135,683,5,03/04/2015,0,0,1,b,1,-283.57602
346,447277,194,3,16/10/2013,373,1,0,0,0,3640.5845
347,588164,853,2,30/06/2015,1201,1,1,0,0,13230.239
348,456931,53,1,28/04/2014,650,1,1,0,1,7646.719
349,221701,281,4,07/02/2013,508,1,1,0,0,5401.808
350,535271,101,2,02/09/2014,879,1,1,0,0,8221.673
351,171677,440,5,05/06/2015,769,1,1,0,1,7944.9907
352,226127,994,2,18/03/2014,435,1,1,0,0,4857.5366
353,414979,168,2,30/07/2013,930,1,1,0,1,9149.209
354,500051,48,7,27/10/2013,0,0,0,0,0,-11.542327
355,329177,652,6,15/02/2014,501,1,0,0,0,4611.6577
356,541113,934,6,11/01/2014,474,1,0,0,0,4279.0566
357,124681,223,6,29/03/2014,589,1,0,0,0,5450.8096
358,284177,378,5,26/12/2014,0,0,0,c,1,-7.947497
359,90749,865,3,17/07/2013,624,1,1,0,0,6817.5493
360,237894,466,5,31/01/2014,861,1,0,0,0,7713.467
361,506152,789,5,14/02/2014,546,1,0,0,0,4690.4487
362,622882,61,7,07/06/2015,0,0,0,0,0,114.406334
363,34430,765,4,19/12/2013,1068,1,1,0,0,12160.616
364,268594,673,1,23/02/2015,500,1,0,0,0,4970.859
365,368485,258,3,25/06/2014,444,1,0,0,0,4468.294
366,602478,740,3,08/10/2014,499,1,1,0,0,6479.644
367,202788,1080,1,16/09/2013,764,1,0,0,0,6305.207
368,675955,918,5,20/06/2014,661,1,1,0,0,6180.3706
369,611958,857,6,22/06/2013,1004,1,0,0,0,7664.705
370,597571,837,1,01/07/2013,482,1,1,0,0,4964.6455
371,317074,516,7,01/03/2015,0,0,0,0,0,101.13425
372,380943,446,2,27/05/2014,505,1,0,0,0,4693.5522
373,649251,835,4,30/05/2013,0,0,1,a,0,54.437187
374,386136,140,7,03/02/2013,0,0,0,0,0,8.325825
375,411910,207,3,14/08/2013,1584,1,1,0,0,13713.081
376,119756,961,4,29/01/2015,668,1,1,0,0,6261.9614
377,251963,772,2,18/03/2014,507,1,1,0,0,4846.073
378,292719,1089,2,02/09/2014,1050,1,1,0,0,10480.436
379,77065,521,3,05/03/2014,421,1,1,0,0,4861.213
380,206967,823,5,17/01/2014,600,1,0,0,0,5669.024
381,521339,436,6,14/09/2013,426,1,0,0,0,3679.3542
382,363365,483,7,09/03/2014,0,0,0,0,0,-94.789955
383,481077,215,2,25/03/2014,333,1,0,0,0,3357.5225
384,711386,109,5,29/05/2015,802,1,0,0,0,7139.7046
385,66970,858,1,16/12/2013,590,1,1,0,0,7198.2817
386,435729,425,4,05/03/2015,501,1,1,0,0,4927.558
387,426284,357,5,24/07/2015,905,1,0,0,1,7828.064
388,435236,255,1,02/02/2015,575,1,1,0,0,6984.723
389,199039,798,6,07/02/2015,343,1,0,0,0,3184.5625
390,99250,366,6,23/03/2013,304,1,0,0,0,2721.458
391,580140,534,2,07/04/2015,510,1,0,0,1,4955.2627
392,254820,179,5,20/06/2014,1176,1,1,0,0,10652.597
393,155130,258,2,03/09/2013,464,1,0,0,1,4479.235
394,503682,693,5,29/08/2014,384,1,0,0,1,4209.063
395,288534,999,4,24/10/2013,685,1,1,0,1,7058.036
396,67050,834,6,19/04/2014,492,1,0,0,0,4734.0986
397,174771,512,4,31/10/2013,1410,1,0,0,1,7956.85
398,442288,818,2,23/04/2013,662,1,1,0,0,5959.8965
399,606734,534,6,12/10/2013,606,1,0,0,0,5726.8335
400,431156,1084,2,17/12/2013,1099,1,1,0,0,11956.409
401,424121,34,2,10/03/2015,861,1,0,0,0,7516.279
402,557753,101,4,27/03/2014,686,1,0,0,0,5675.8228
403,520831,187,1,02/03/2015,885,1,1,0,0,9349.8
404,376589,20,1,23/09/2013,1041,1,1,0,0,9887.875
405,7670,828,7,26/10/2014,0,0,0,0,0,105.34552
406,303546,434,1,12/08/2013,823,1,1,0,1,9708.573
407,236740,738,1,04/05/2015,864,1,1,0,0,9538.303
408,145734,351,5,07/03/2014,569,1,1,0,0,6504.514
409,134420,1020,4,30/01/2014,905,1,0,0,0,6888.56
410,691699,86,7,11/08/2013,0,0,0,0,0,-127.27202
411,233889,266,3,17/06/2015,573,1,1,0,0,5983.497
412,653554,608,5,20/06/2014,1024,1,1,0,0,9652.133
413,481046,708,5,21/02/2014,493,1,1,0,1,5115.797
414,423103,734,3,05/02/2014,605,1,1,0,0,6649.048
415,693486,776,7,07/06/2015,0,0,0,0,0,-52.952194
416,90193,1060,2,09/04/2013,853,1,1,0,0,8030.174
417,119482,182,2,29/04/2014,507,1,1,0,0,6161.4673
418,525167,542,3,16/01/2013,431,1,0,0,0,4381.5947
419,239754,602,1,06/05/2013,610,1,0,0,0,5994.094
420,332806,101,4,07/11/2013,777,1,1,0,0,7346.422
421,142056,784,7,30/06/2013,0,0,0,0,0,-0.79985404
422,673000,679,7,17/11/2013,0,0,0,0,0,195.12634
423,567353,535,4,14/08/2014,793,1,0,0,1,6945.565
424,696641,844,4,06/02/2014,516,1,1,0,0,4897.017
425,628766,595,7,24/05/2015,0,0,0,0,0,58.380795
426,544695,25,6,30/03/2013,1831,1,0,0,0,14537.471
427,652921,416,3,03/12/2014,1819,1,1,0,0,15509.495
428,436682,539,4,22/01/2015,966,1,0,0,0,8018.891
429,158580,77,3,28/08/2013,642,1,1,0,0,6513.374
430,184394,641,2,09/07/2013,493,1,0,0,0,4216.25
431,523534,445,6,10/01/2015,1201,1,0,0,0,9325.313
432,133026,318,5,03/05/2013,822,1,1,0,0,8667.204
433,296285,394,3,13/11/2013,539,1,0,0,0,4949.923
434,14477,761,5,07/02/2014,1014,1,1,0,1,8687.024
435,130799,706,2,28/07/2015,578,1,1,0,0,7050.596
436,17306,41,5,28/02/2014,433,1,0,0,0,4630.4424
437,617975,894,1,07/07/2014,958,1,0,0,1,7207.7144
